File,Skewness
1045HR-0-0026.csv,-3.1273235418676864
1045HR-0-0038.csv,-3.190887898193921
1045HR-0-0072.csv,-3.2916626509873024
1045HR-0-0173.csv,-3.4250794162688383
1045HR-0010-0020.csv,-2.827421636219615
1045HR-0013-0013.csv,-1.7811518038528749
1045HR-0014-0029.csv,-2.912438440576555
1045HR-0019-0019.csv,-1.8371818445121506
1045HR-0021-0011.csv,-2.8089407606392
1045HR-0022-0.csv,-3.0982167547456285
1045HR-0026-0052.csv,-2.9907108311468544
1045HR-0037-0037.csv,-1.9280016356260619
1045HR-0041-0021.csv,-2.9384430402945814
1045HR-0043-0.csv,-3.210910249542241
1045HR-0050-0.csv,-3.234947471989864
1045HR-0055-0.csv,-3.2499440476811587
1045HR-0065-0131.csv,-3.137738449768669
1045HR-0087-0087.csv,-2.0340947731214656
1045HR-0096-0048.csv,-3.0861405123163173
1045HR-0100-0.csv,-3.3417051015529577
1045HR-90-0010-0020.csv,-2.8241398515906933
1045HR-90-0013-0013.csv,-1.7799629907707457
1045HR-90-0014-0029.csv,-2.9090914082745156
1045HR-90-0019-0019.csv,-1.8359528345499478
1045HR-90-0021-0011.csv,-2.8078641877605017
1045HR-90-0026-0052.csv,-2.9873178062829755
1045HR-90-0037-0037.csv,-1.9267057668120848
1045HR-90-0041-0021.csv,-2.9373493772452437
16MnR-a-0.00100-0.00173.csv,-3.0931737409225843
16MnR-a-0.00110-0.00191.csv,-2.7215675283857164
16MnR-a-0.00138-0.00242.csv,-2.7724948958670503
16MnR-a-0.00200-0.00346.csv,-2.8240371455272353
16MnR-a-0.00277-0.00484.csv,-2.8872138128946485
16MnR-a-0.00397-0.00693.csv,-2.943229644989531
16MnR-a-0.00400-0.00692.csv,-2.935958594164551
16MnR-a-0.006-0.01039.csv,-2.9991410550964805
16MnR-b-0.00106-0.00185.csv,-2.7227817447236426
16MnR-b-0.00136-0.00243.csv,-2.790506196021838
16MnR-b-0.00707-0.001225.csv,-3.0280404391966296
16MnR-c-0.00133-0.00346.csv,-2.7134373304402915
16MnR-d-0.001-0.00260.csv,-2.41482662522359
16MnR-d-0.00160-0.00416.csv,-2.8348874803023434
16MnR-d-0.00300-0.00780.csv,-3.079034759619697
1Cr18Ni9T-1-0.002.csv,-3.8873107848539568
1Cr18Ni9T-1-0.003.csv,-4.091960542372442
1Cr18Ni9T-1-0.004.csv,-4.244903732017866
1Cr18Ni9T-1-0.005.csv,-4.367755993904868
1Cr18Ni9T-1-0.01.csv,-4.771031445625973
1Cr18Ni9T-2-0.0025.csv,-3.986003204144883
1Cr18Ni9T-2-0.004.csv,-4.232080899876045
1Cr18Ni9T-2-0.006.csv,-4.457483906503872
1Cr18Ni9T-2-0.01.csv,-4.75719467031731
1Cr18Ni9T-2-0.015.csv,-5.006246084572773
1Cr18Ni9T-3-0.002.csv,-1.7926690932696034
1Cr18Ni9T-3-0.0028.csv,-1.8418315918335988
1Cr18Ni9T-3-0.004.csv,-1.8912117087884701
1Cr18Ni9T-3-0.01.csv,-2.0076906189527612
2024-T3-0.0142.csv,-3.394900582734887
2024-T3-0.02.csv,-3.4474560629736613
2024-T3-U-0.0053.csv,-4.400422055932421
2024-T3-U-0.0087.csv,-4.6875354404385
2024-T3-U-0.0120.csv,-4.882081024250287
304SS-0.00145-0023.csv,-2.6782385237692585
304SS-0.0025-0043.csv,-2.858793245907424
304SS-90-0.0020-0035.csv,-2.834980826699438
304SS-90-0.0035-0061.csv,-2.922066696916237
304SS-box-0.0014-0024.csv,-2.004179909721265
304SS-box-0.0025-0043.csv,-2.034897992853656
304SS-twobox-0.0014-0024.csv,-3.099336240171998
304SS-twobox-0.0025-0043.csv,-3.154070700837491
410-IP-0.002-0.005.csv,-3.0803529872181907
410-IP-0.0025-0.0025.csv,-1.8756825905261771
410-IP-0.0026-0.0042.csv,-2.7998191298843804
410-IP-0.0026-0.0048.csv,-2.928946095705676
410-IP-0.0030-0.0042.csv,-2.6317550086020765
410-IP-0.0030-0.0048.csv,-2.8123330530722757
410-IP-0.0035-0.0030.csv,-2.243208908225751
410-OP-0.002-0.005.csv,-3.076857419639914
410-OP-0.0025-0.0025.csv,-1.8744255369887133
410-OP-0.0026-0.0042.csv,-2.7966457118215287
410-OP-0.0026-0.0048.csv,-2.92562058181635
410-OP-0.0030-0.0042.csv,-2.6288123887962036
410-OP-0.0030-0.0048.csv,-2.809153901182782
410-OP-0.0035-0.0030.csv,-2.2413898951473072
