0.0000000000 ,524.0333333333 ,,,,,,
9.9000000000 ,514.0833333333 ,,,,,,
19.8000000000 ,504.1333333333 ,,,,,,
29.7000000000 ,494.1833333333 ,,,,,,
39.6000000000 ,484.2333333333 ,,,,,,
49.5000000000 ,474.2833333333 ,,,,,,
59.4000000000 ,464.3333333333 ,,,,,,
69.3000000000 ,454.3833333333 ,,,,,,
79.2000000000 ,444.4333333333 ,,,,,,
89.1000000000 ,434.4833333333 ,,,,,,
99.0000000000 ,424.5333333333 ,,,,,,
108.9000000000 ,414.5833333333 ,,,,,,
118.8000000000 ,404.6333333333 ,,,,,,
128.7000000000 ,394.6833333333 ,,,,,,
138.6000000000 ,384.7333333333 ,,,,,,
148.5000000000 ,374.7833333333 ,,,,,,
158.4000000000 ,364.8333333333 ,,,,,,
168.3000000000 ,354.8833333333 ,,,,,,
178.2000000000 ,344.9333333333 ,,,,,,
188.1000000000 ,334.9833333333 ,,,,,,
198.0000000000 ,325.0333333333 ,,,,,,
207.9000000000 ,315.0833333333 ,,,,,,
217.8000000000 ,305.1333333333 ,,,,,,
227.7000000000 ,295.1833333333 ,,,,,,
237.6000000000 ,285.2333333333 ,,,,,,
247.5000000000 ,275.2833333333 ,,,,,,
257.4000000000 ,265.3333333333 ,,,,,,
267.3000000000 ,255.3833333333 ,,,,,,
277.2000000000 ,245.4333333333 ,,,,,,
287.1000000000 ,235.4833333333 ,,,,,,
297.0000000000 ,225.5333333333 ,,,,,,
306.9000000000 ,215.5833333333 ,,,,,,
316.8000000000 ,205.6333333333 ,,,,,,
326.7000000000 ,195.6833333333 ,,,,,,
336.6000000000 ,185.7333333333 ,,,,,,
346.5000000000 ,175.7833333333 ,,,,,,
356.4000000000 ,165.8333333333 ,,,,,,
366.3000000000 ,155.8833333333 ,,,,,,
376.2000000000 ,145.9333333333 ,,,,,,
386.1000000000 ,135.9833333333 ,,,,,,
396.0000000000 ,126.0333333333 ,,,,,,
405.9000000000 ,116.0833333333 ,,,,,,
415.8000000000 ,106.1333333333 ,,,,,,
425.7000000000 ,96.1833333333 ,,,,,,
435.6000000000 ,86.2333333333 ,,,,,,
445.5000000000 ,76.2833333333 ,,,,,,
455.4000000000 ,66.3333333333 ,,,,,,
465.3000000000 ,56.3833333333 ,,,,,,
475.2000000000 ,46.4333333333 ,,,,,,
485.1000000000 ,36.4833333333 ,,,,,,
495.0000000000 ,26.5333333333 ,,,,,,
504.9000000000 ,16.5833333333 ,,,,,,
514.8000000000 ,6.6333333333 ,,,,,,
524.7000000000 ,-3.3166666667 ,,,,,,
534.6000000000 ,-13.2666666667 ,,,,,,
544.5000000000 ,-23.2166666667 ,,,,,,
554.4000000000 ,-33.1666666667 ,,,,,,
564.3000000000 ,-43.1166666667 ,,,,,,
574.2000000000 ,-53.0666666667 ,,,,,,
584.1000000000 ,-63.0166666667 ,,,,,,
594.0000000000 ,-72.9666666667 ,,,,,,
584.1000000000 ,-82.9166666667 ,,,,,,
574.2000000000 ,-92.8666666667 ,,,,,,
564.3000000000 ,-102.8166666667 ,,,,,,
554.4000000000 ,-112.7666666667 ,,,,,,
544.5000000000 ,-122.7166666667 ,,,,,,
534.6000000000 ,-132.6666666667 ,,,,,,
524.7000000000 ,-142.6166666667 ,,,,,,
514.8000000000 ,-152.5666666667 ,,,,,,
504.9000000000 ,-162.5166666667 ,,,,,,
495.0000000000 ,-172.4666666667 ,,,,,,
485.1000000000 ,-182.4166666667 ,,,,,,
475.2000000000 ,-192.3666666667 ,,,,,,
465.3000000000 ,-202.3166666667 ,,,,,,
455.4000000000 ,-212.2666666667 ,,,,,,
445.5000000000 ,-222.2166666667 ,,,,,,
435.6000000000 ,-232.1666666667 ,,,,,,
425.7000000000 ,-242.1166666667 ,,,,,,
415.8000000000 ,-252.0666666667 ,,,,,,
405.9000000000 ,-262.0166666667 ,,,,,,
396.0000000000 ,-271.9666666667 ,,,,,,
386.1000000000 ,-281.9166666667 ,,,,,,
376.2000000000 ,-291.8666666667 ,,,,,,
366.3000000000 ,-301.8166666667 ,,,,,,
356.4000000000 ,-311.7666666667 ,,,,,,
346.5000000000 ,-321.7166666667 ,,,,,,
336.6000000000 ,-331.6666666667 ,,,,,,
326.7000000000 ,-341.6166666667 ,,,,,,
316.8000000000 ,-351.5666666667 ,,,,,,
306.9000000000 ,-361.5166666667 ,,,,,,
297.0000000000 ,-371.4666666667 ,,,,,,
287.1000000000 ,-381.4166666667 ,,,,,,
277.2000000000 ,-391.3666666667 ,,,,,,
267.3000000000 ,-401.3166666667 ,,,,,,
257.4000000000 ,-411.2666666667 ,,,,,,
247.5000000000 ,-421.2166666667 ,,,,,,
237.6000000000 ,-431.1666666667 ,,,,,,
227.7000000000 ,-441.1166666667 ,,,,,,
217.8000000000 ,-451.0666666667 ,,,,,,
207.9000000000 ,-461.0166666667 ,,,,,,
198.0000000000 ,-470.9666666667 ,,,,,,
188.1000000000 ,-480.9166666667 ,,,,,,
178.2000000000 ,-490.8666666667 ,,,,,,
168.3000000000 ,-500.8166666667 ,,,,,,
158.4000000000 ,-510.7666666667 ,,,,,,
148.5000000000 ,-520.7166666667 ,,,,,,
138.6000000000 ,-530.6666666667 ,,,,,,
128.7000000000 ,-540.6166666667 ,,,,,,
118.8000000000 ,-550.5666666667 ,,,,,,
108.9000000000 ,-560.5166666667 ,,,,,,
99.0000000000 ,-570.4666666667 ,,,,,,
89.1000000000 ,-580.4166666667 ,,,,,,
79.2000000000 ,-590.3666666667 ,,,,,,
69.3000000000 ,-593.6833333333 ,,,,,,
