csv_transform,material_transform,target_transform,model,best_params,cv_score,test_r2,test_r2_inv
csv_none,material_std_then_norm,target_none,Ridge,{'regressor__alpha': np.float64(0.001)},0.26188669907122913,0.3302130523073449,0.3302130523073449
csv_none,material_std_then_norm,target_none,Lasso,{'regressor__alpha': np.float64(10.0)},0.11179029695191378,0.1328780486218667,0.1328780486218667
csv_none,material_std_then_norm,target_none,ElasticNet,"{'regressor__alpha': np.float64(46.41588833612773), 'regressor__l1_ratio': 0.2}",0.10865245511586838,0.13795898055652134,0.13795898055652134
csv_none,material_std_then_norm,target_log,Ridge,{'regressor__alpha': np.float64(0.001)},0.28712505194442156,0.27908118160303474,0.2852126328643424
csv_none,material_std_then_norm,target_log,Lasso,{'regressor__alpha': np.float64(2.154434690031882)},0.12562551690484774,0.12655475357747958,0.12042963038409904
csv_none,material_std_then_norm,target_log,ElasticNet,"{'regressor__alpha': np.float64(10.0), 'regressor__l1_ratio': 0.2}",0.12356973156207329,0.13173378042333472,0.12558585081563045
csv_none,material_std_then_norm,target_boxcox,Ridge,{'regressor__alpha': np.float64(0.001)},0.26211763181675574,0.33002975219322284,0.33001007034998864
csv_none,material_std_then_norm,target_boxcox,Lasso,{'regressor__alpha': np.float64(10.0)},0.11217566656261231,0.1322395434526088,0.13219634448081496
csv_none,material_std_then_norm,target_boxcox,ElasticNet,"{'regressor__alpha': np.float64(46.41588833612773), 'regressor__l1_ratio': 0.2}",0.10911442978073219,0.13738960660416566,0.13734517680273228
csv_none,material_std_then_norm,target_yeojohnson,Ridge,{'regressor__alpha': np.float64(0.001)},0.2624313217413313,0.3297723462994301,0.32972569843115007
csv_none,material_std_then_norm,target_yeojohnson,Lasso,{'regressor__alpha': np.float64(10.0)},0.09962559992105449,0.14831698066416654,0.14819726306064984
csv_none,material_std_then_norm,target_yeojohnson,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.5}",0.16566867122939552,0.2273048336435085,0.22842027311745483
csv_none,material_norm_then_std,target_none,Ridge,{'regressor__alpha': np.float64(0.001)},0.2619719721956562,0.3300361136606841,0.3300361136606841
csv_none,material_norm_then_std,target_none,Lasso,{'regressor__alpha': np.float64(10.0)},0.11179029695191378,0.1328780486218667,0.1328780486218667
csv_none,material_norm_then_std,target_none,ElasticNet,"{'regressor__alpha': np.float64(46.41588833612773), 'regressor__l1_ratio': 0.2}",0.10865245511586838,0.13795898055652134,0.13795898055652134
csv_none,material_norm_then_std,target_log,Ridge,{'regressor__alpha': np.float64(0.001)},0.2874703067239007,0.2785918337447777,0.2848306321335491
csv_none,material_norm_then_std,target_log,Lasso,{'regressor__alpha': np.float64(2.154434690031882)},0.12562551690484774,0.12655475357747958,0.12042963038409904
csv_none,material_norm_then_std,target_log,ElasticNet,"{'regressor__alpha': np.float64(10.0), 'regressor__l1_ratio': 0.2}",0.12356973156207329,0.13173378042333472,0.12558585081563045
csv_none,material_norm_then_std,target_boxcox,Ridge,{'regressor__alpha': np.float64(0.001)},0.2622012854131134,0.32985347713914936,0.3298340751215152
